"SupplierNumber","CorporateGroupID","Name1","Name2","POBox","Street","PostalCode","City","CountryCoded","TelephoneNumber","FaxNumber","VATRegistrationNumber","TaxNumber1","TaxNumber2"
20279285,4200,"DESLER S A","SN ARG",,"MORENO",1091,"CAPITAL FEDERAL","AR",,,,30655954089,9019902656
20279296,4200,"FABRIMATICA SA","SN ARG",,"AV VARELA 2966",1437,"CAPITAL FEDERAL","AR",41165355,,,30690627732,9011944888
20279292,4200,"GEODIS WILSON ARGENTINA SA","SN ARG",,"BOLIVAR 391 2º P",1066,"CAPITAL FEDERAL","AR",,,,30593435810,"901-962840-"
20279290,4200,"FEDERAL EXPRESS CORPORATION","SN ARG",,"AV. PIEDRABUENA 3660",1439,"CAPITAL FEDERAL","AR",,,,30594494187,"901-985759-"
20279304,4200,"TECMAR SOCIEDAD ANONIMA","SN ARG",,"G. MATTEOTI 64",7600,"MAR DEL PLATA SUR ","AR",,,,30676785473,"902-895457-"
20279309,4200,"GREGORUTTI & ASOCIADOS S.A.","SN ARG",,"PASAJE RUFINO 3031",1431,"CAPITAL FEDERAL","AR",,,,33677051669,"901-157307-"
20279310,4200,"AMERICAN CLEANING CENTER S.A.","SN ARG",,"HONORIO PUEYRREDON 6020",1631,"PILAR","AR",52525757,,,30690207660,
20279312,4200,"BIOMERIEUX ARGENTINA SA","SN ARG",,"ARIAS 3751",1430,"CAPITAL FEDERAL","AR",55555680,,,30694376432,9010214521
20279317,4200,"GENERALI CORPORATE CIA ARG DE SEGUR","SN ARG",,"RECONQUISTA 572",1003,"CAPITAL FEDERAL","AR",,,,30677290478,"901-913535-"
20279319,4200,"PREVENCION ECOLOGICA SRL","SN ARG",,"ADOLFO ALSINA 1433",1088,"CAPITAL FEDERAL","AR",,,,30637767336,"901-978637-"
20279324,4200,"MADROÑAL GRACIELA VIRGINIA","SN ARG",,"BELAUSTEGUI 2754 P.2 DTO E",1416,"CAPITAL FEDERAL","AR",,,,27142108114,"1035956-07"
20279323,4200,"UNIRROL SA","SN ARG",,"SAN LORENZO 3699",1636,"OLIVOS","AR",47111616,,,30707387595,
20279330,4200,"MUNICIPALIDAD DE ESCOBAR","DAN ARG",,"ESTRADA 599 - ESQUINA : ASBORNO",1625,"ESCOBAR","AR",0,,,33999034069,
20279329,4200,"ZURICH ARGENTINA COMPAÑÍA DE SEGURO","DAN ARG",,"CERRITO 1010",1010,"CABA","AR",0,,,30500049770,"901-910178-"
20279336,4200,"FRADEALCO S A","SN ARG",,"RUTA 4 ENTRE CAVOUR Y MARCONI",1849,"CLAYPOLE","AR",42681605,,,30602608790,"902-8831064"
20279347,4200,"ANALYTICAL TECHNOLOGIES S.A.","DAN ARG",,"KENNEDY JOHN F. 2840 P:10",1425,"CAPITAL FEDERAL","AR",45099000,,,30707967990,"901-058538-"
20279343,4200,"SINAX S.A","SN ARG",,"ROSARIO 2302",1606,"CARAPACHAY","AR",47569800,,,30501778407,9019190565
20279344,4200,"STM ARGENTINA S.A.","SN ARG",,"BETHARRAM 1171",1682,"VILLA BOSCH","AR",,,,30691558157,"901-904109-"
20279355,4200,"CAS INSTRUMENTAL SRL","SN ARG",,"IBERÁ 2990",1000,"CAPITAL FEDERAL","AR",,,,30615186631,"901-936242-"
20279351,4200,"BRONS Y SALAS SOC CIVIL","SN ARG",,"OLGA COSSETTINI 363",1107,"CAPITAL FEDERAL","AR",43197168,,,30599017433,
20279363,4200,"ESTABLECIMIENTO MECANICO GOBBI Y FU","SN ARG",,"GRAL. ARREDONDO 2580",1872,"SARANDI","AR",42052292,,,33504449799,"33-50444979"
20279364,4200,"TRECAP SRL","SN ARG",,"CASTRO 562",1217,"CAPITAL FEDERAL","AR",,,,30709068306,"901-207636-"
20279376,4200,"ETILFARMA S A","SN ARG",,"INT. TOMKINSON 1278",1642,"SAN ISIDRO","AR",47426034,,,30618289318,
20279381,4200,"SIX SOFT S R L","SN ARG",,"AV CALLAO 493 P 5TO C",1022,"CAPITAL FEDERAL","AR","15 57307081",,,30709513989,
20279410,4200,"HARDOY, MACKINLAY & DELACRE - ABOGA","SN ARG",,"MONTEVIDEO 665 P 4",1019,"CAPITAL FEDERAL","AR",50323737,,,30710738471,"901-309656-"
20279430,4200,"CRIPTEX S.A.","SN ARG",,"COLECTORA OESTE KM 43.500",1623,"INGENIERO MASCHWITZ","AR",,,,30710014953,"30-71001495"
20279465,4200,"BAGAGGIO S.R.L.","SN ARG",,"CORDOBA 4261",1414,"CAPITAL FEDERAL","AR",48674519,,,30712437452,
20279462,4200,"CUEVA ANA MARIA","SN ARG",,"PERU 327 P 2 DPTO C",1067,"CAPITAL FEDERAL","AR",,,,27110998681,"27-11099868"
20279457,4200,"BULONERA TORCUATO S.R.L.","SN ARG",,"RUTA 202 3235",1611,"DON TORCUATO","AR",47412480,,,30622567519,"902-878565-"
20279486,4200,"MARTA B ARISI","SN ARG",,"SARMIENTO 1190 - 4TO. PISO",1041,"CAPITAL FEDERAL","AR",,,,27055955730,
20279501,4200,"BAKER & MC KENZIE","SN ARG",,"AV. LEANDRO N. ALEM 1110",1001,"CAPITAL FEDERAL","AR",,,,30661020985,"889242-03"
20279505,4200,"ADEA ADMINISTRADORA DE ARCHIVO","SN ARG",,"AVDA JURAMENTO 1775 PISO 4",1428,"CAPITAL FEDERAL","AR",,,,30682335706,9011694457
20279508,4200,"CAFADYA","SN ARG",,"AV. CORDOBA 1345 9º P.",1055,"CAPITAL FEDERAL","AR",,,,30639655802,
20279516,4200,"JORGE A. ESSES","SN ARG",,"AV. PUEYRREDON 524",1032,"CAPITAL FEDERAL","AR",,,,20075994304,
20279535,4200,"MARIEN KAFER S.R.L.","SN ARG",,"DARDO ROCHA 3126",1640,"MARTINEZ","AR",47172349,,,30711324034,
20279630,4200,"ROBERTO JAVIER GUZZO","SN ARG",,"CEFERINO NAMUNCURA 330",1625,"ESCOBAR","AR",,,,20219563540,9024551870
20279672,4200,"QUIMICA FENIX SA","SN ARG",,"AVDA DORREGO 279",1414,"CAPITAL FEDERAL","AR",,,,30702955285,9010323499
20279675,4200,"FABERTEC SRL","SN ARG",,"SAN JUAN 1950 P 10º",1232,"CAPITAL FEDERAL","AR",,,,30613482047,"901-936873-"
20279673,4200,"C.I.P.O.","SN ARG",,"GRAL SAVIO Y EINSTEIN",1619,"GARIN","AR",,,,30577727658,
20279674,4200,"ORENGIA Y CONFORTI ICSA","SN ARG",,"AZUCENA MAIZANI Nº 2300",7600,"MAR DEL PLATA SUR ","AR",,,,30502989037,"902-895214-"
20279676,4200,"SANDRA BEATRIZ PAZ BAGNI","SN ARG",,"OLAZABAL 2170",1428,"CAPITAL FEDERAL","AR",,,,27164863609,"27-16486360"
20279677,4200,"LABCI","SN ARG",,"PJE LOS RECUERDOS 347",1408,"CAPITAL FEDERAL","AR",,,,27062066275,"901-030800-"
20279678,4200,"BIODATA","SN ARG",,"9 DE JULIO 374",1878,"QUILMES","AR",,,,20116837669,"902-879809-"
20279679,4200,"AFIP / DGI","SN ARG",,"YRIGOYEN HIPOLITO 370 P:4 DEP:4752",1086,"CAPITAL FEDERAL","AR",,,,33693450239,
20279681,4200,"MASTROBERTI MIGUEL ANGEL","SN ARG",,"BOGOTA 1041",1629,"PILAR","AR",,,,20130271937,"20-13027193"
20279682,4200,"CÁMARA DE COMERCIO ARG. BRASIL","SN ARG",,"MONTEVIDEO 770 - P 12",1000,"CAPITAL FEDERAL","AR",,,,30525522691,
20279686,4200,"MULTIVAC ARGENTINA SA","SN ARG",,"USPALLATA 2665",1643,"BECCAR","AR",,,,30710091303,
20279688,4200,"SUEIRO E HIJOS SA","SN ARG",,"BERGAMINI 1127",1702,"CIUDADELA ","AR",44884649,,,30710855141,
20279689,4200,"MARIEN-K","SN ARG",,"DARDO ROCHA 3118",1640,"CAPITAL FEDERAL","AR",,,,27024735473,"902-554522-"
20279690,4200,"EME SALUD S. A.","SN ARG",,"SAN MARTÍN 1",1625,"ESCOBAR","AR",,,,30680113943,"902-129567-"
20279691,4200,"PAN HNOS TRANSPORTES S.R.L.","SN ARG",,"LIBERTAD 5024",1602,"FLORIDA","AR",,,,30655382344,
20279693,4200,"PRO-FACE SRL","SN ARG",,"ROQUE PÉREZ 211/15",1870,"AVELLANEDA","AR",,,,33612196899,"902-882272-"
20279694,4200,"LEIVA LUIS JORGE","SN ARG",,"PTE PERON 89 GARIN BS AS",1619,"GARIN","AR",3484477260,,,20101114679,2101114679
20279696,4200,"PERKIN ELMER ARGENTINA SRL","SN ARG",,"TRONADOR 620",1427,"CAPITAL FEDERAL","AR",,,,30692289249,"901-196457-"
20279698,4200,"THE SOLAE COMPANY","SN ARG",,"HIPÓLITO YRIGOYEN 2020 - P",1643,"CAPITAL FEDERAL","AR",,,,30695556469,
20279701,4200,"RESISTENCIAS ELECTROARGENTINAS","SN ARG",,"PARANA 4031",1640,"MARTINEZ","AR",,,,30709797030,"902-491357-"
20279700,4200,"NEOTEC MECANIZADOS","SN ARG",,"LAPRIDA 540 E/ EMILIO LAMARCA",1611,"DON TORCUATO NORTE","AR",,,,30709400998,"30-70940099"
20279703,4200,"IMTECK ARGENTINA SA","SN ARG",,"CALLE 103 Nº 4750",1653,"CAPITAL FEDERAL","AR",,,,30708149213,"901-062858-"
20279704,4200,"DE PIETRO VIDRIOS SH","SN ARG",,"ITALIA 1613",1648,"TIGRE","AR",,,,30678499540,"30-67849954"
20279707,4200,"YARADE HECTOR ALFREDO","SN ARG",,"COLOMBRES 280",1832,"CAPITAL FEDERAL","AR",,,,20120009193,"902-136089-"
20279708,4200,"TECNISOUND","SN ARG",,"SARMIENTO 1638",1042,"CAPITAL FEDERAL","AR",,,,30691551292,"901-189838-"
20279709,4200,"ELECTRICIDAD MIGUEL SA","SN ARG",,"LAVALLE 567",2800,"ZARATE","AR",,,,30576455352,"30-57645535"
20279710,4200,"BAC-DALL ARGENTINA SA","SN ARG",,"GRAL. J.G. ARTIGAS 1560",1416,"CAPITAL FEDERAL","AR",,,,30707999558,"901-059241-"
20279712,4200,"RAPI-ESTANT S.A.I.C.F.EL","SN ARG",,"A. MAGARIÑOS CERVANTES 2541/57",1416,"CAPITAL FEDERAL","AR",,,,30506291433,"901-911823-"
20279714,4200,"SERVICIOS INT POSTALES SA","SN ARG",,"SULLIVAN 3208",1667,"TORTUGUITAS","AR",,,,30708140488,"901-062662-"
20279716,4200,"HECTOR ROLDAN SA","SN ARG",,"AV. EVA PERÓN 3491",1650,"CAPITAL FEDERAL","AR",,,,30710587279,"901-274100-"
20279715,4200,"DANILUK MARCELO ALEJANDRO","SN ARG",,"AV DE MAYO 1370",1825,"CAPITAL FEDERAL","AR",,,,20230869368,"902-394481-"
20279717,4200,"AB CONSULTORA SA","SN ARG",,"CALIFORNIA 2082",1289,"CAPITAL FEDERAL","AR",43030000,,,30708480904,3070848090
20279718,4200,"DESBA SA","SN ARG",,"AV NAZCA 2566",1417,"CAPITAL FEDERAL","AR",,,,30711736103,"901-313111-"
20279719,4200,"HIDRAULICA Y COMPONENTES SRL","SN ARG",,"ACCESO NORTE 3050",1644,"CAPITAL FEDERAL","AR",,,,30710051492,"901-228890-"
20279721,4200,"LEIVA OSCAR FERNANDO","SN ARG",,"JUAN B. JUSTO 1463",1643,"CAPITAL FEDERAL","AR",,,,20077004662,
20279720,4200,"BUSCH ARGENTINA SRL","SN ARG",,"SANTO DOMINGO 3078",1293,"CAPITAL FEDERAL","AR",,,,33710648919,
20279725,4200,"BOTTA TORRES PEDRO","SN ARG",,"REP. ARABE SIRIA 3211",1425,"CAPITAL FEDERAL","AR",,,,20332071387,
20279726,4200,"POLINORTE SA","SN ARG",,"M. UGARTE 3871",1605,"MUNRO","AR",47622709,,,30646811062,9019616919
20279730,4200,"MARCELO ALEJANDRO GIORNO","SN ARG",,"SANABRIA 2621 CAP FED",1417,"CAPITAL FEDERAL","AR",46392245,,,20230368636,9010744332
20279731,4200,"SOLDADURAS TIGRE DE CASCASI Y","SN ARG",,"GUAMINI 1152",1408,"CAPITAL FEDERAL","AR",46990468,,,30712193944,9016613553
20279732,4200,"SOTIC SA","SN ARG",,"CALLE 9 PARQUE IND SAUCE VIEJO",3017,"SANTA FE","AR",3424996301,,,30567590867,9217407957
20279734,4200,"LUIS ALBERTO OLMOS","SN ARG",,"ROJAS 1408- BURZACO",1852,"CAPITAL FEDERAL","AR",42995856,,,20113672111,9028856081
20279736,4200,"CARPE SHEIDER Y CIA SA","SN ARG",,"GODOY CRUZ 2769 5TO.",1425,"CAPITAL FEDERAL","AR",47760477,,,30624460444,9010297598
20279738,4200,"TALLER METALURGICO DE ARIEL AR","SN ARG",,"ECHEVERRÍA 2501",1650,"PCIA BS AS","AR",,,,20256873711,2025687371
20279741,4200,"HUGO SANDRO ZINK","SN ARG",,"REMEDIOS DE ESCALADA 799",1625,"CAPITAL FEDERAL","AR",1554516817,,,20200184484,
20279740,4200,"FEPROL SRL","SN ARG",,"AZURDUY JUANA 3675",1430,"CAPITAL FEDERAL","AR",45450681,,,30708412208,9017239931
20279743,4200,"KAS SECTOR RRHH","SN ARG",,"AV. PANAMERICANA Y GRAL. SAVIO",1619,"GARIN","AR",,,,27324727758,
20279745,4200,"KAS-R&D","SN ARG",,"AV. PANAMERICANA Y GRAL. SAVIO",1619,"GARIN","AR",,,,,
20279744,4200,"KAS COMEX","SN ARG",,"AV. PANAMERICANA Y GRAL. SAVIO",1619,"GARIN","AR",,,,,
20279746,4200,"KAS FONDO FIJO","SN ARG",,"AV. PANAMERICANA Y GRAL. SAVIO",1619,"GARIN","AR",,,,,
20279747,4200,"KAS FONDO FIJO DEPOSITO","SN ARG",,"AV. PANAMERICANA Y GRAL. SAVIO",1619,"GARIN","AR",,,,,
20279748,4200,"KAS VARIOS","SN ARG",,"AV. PANAMERICANA Y GRAL. SAVIO",1619,"GARIN","AR",,,,,
20279754,4200,"PALLETS FEGIAN S.A.","SN ARG",,"LAS HIGUIERITAS 548",1824,"LANUS","AR",,,,30712197222,"30-71219722"
20279757,4200,"TERMOLOSANDES S.R.L.","SN ARG",,"REPUBLICA ARABE SIRIA 3215",1425,"CAPITAL FEDERAL","AR","4 911 4835",,,30708823577,"901-079286-"
20279763,4200,"KEISER GROUP SRL","SN ARG",,"MARIANO ESCALADA 1002",1684,"EL PALOMAR","AR",,,,30713827904,
20279766,4200,"ACEROS Y ALUMINIOS QUEQUEN SRL","SN ARG",,"JOSE PEDRO VARELA 5377",1408,"CAPITAL FEDERAL","AR",,,,30516886710,
20279774,4200,"TODOS RETENES SA","SN ARG",,"AV. LAS MALVINAS 6477",5012,"CORDOBA","AR",,,,30714333948,
20279788,4200,"IMATECSA SA","SN ARG",,"GUEVARA 1333",1427,"CAPITAL FEDERAL","AR",,,,30712246495,
20279780,4200,"GAIA ECOCONSULTORES SRL","SN ARG",,"SARMIENTO 385 3° DTO 36",1041,"CAPITAL FEDERAL","AR",,,,33680423909,"902-0859149"
20279775,4200,"LAS LUNAS SERVICIOS PARA MASCOTAS","SN ARG",,"AVENIDA ANDRES ROLON 100",1642,"SAN ISIDRO","AR",47237300,,,30709593192,"902-850828-"
20279799,4200,"JOHANNA MESA ALPERT","SN ARG",,"WINEBERG 3582",1637,"LA LUCILA","AR",,,,27308208430,
20279817,4200,"CUBEN S.A","SN ARG",,"AV. FRANCISCO BEIRO 4388",1419,"CAPITAL FEDERAL","AR",,,,30709886904,
20279826,4200,"IGLESIAS NEGOCIOS INMOBILIARIOS SA","SN ARG",,"BVAR DEL MIRADOR 350",1871,"NORDELTA","AR",,,,33710896459,"33-71089645"
20279833,4200,"CABRERA SEBASTIAN EMILIO","SN ARG",,"COLOMBRES 44",1177,"CAPITAL FEDERAL","AR",,,,20227079496,
20279838,4200,"CARLEY S.A.","DAN ARG",,"AV NAZCA 867 PISO 5 DTO A",1406,"CAPITAL FEDERAL","AR",,,,30709145572,"30-7091455-"
20279839,4200,"CANDY CHOC S.A","SN ARG",,"ROMA 185",1000,"HURLINGHAM","AR",,,,30709212105,"901-211122-"
20279844,4200,"SENN DARIO ALEJANDRO","SN ARG",,"JUNCAL 79",1640,"MARTINEZ","AR",561763035,,,20283073093,"20-28307309"
20279867,4200,"TRANSPORTE JOVEN S.R.L.","SN ARG",,"DARRAGUEIRA 1475",1822,"VALENTIN ALSINA","AR",42098667,,,30710700350,9025373430
20279877,4200,"CHEF GOURMET SA","SN ARG",,"CUYO 2260",1640,"MARTINEZ","AR",47172054,,,30712305483,9016685911
20279882,4200,"CANAVIDE HECTOR ALEJANDRO","SN ARG",,"CAPITAL SARMIENTO 570",1828,"BANFIELD","AR",43427040,,,20214522927,20214522927
20279886,4200,"LOMA CAROLINA VIRGINIA","SN ARG",,"SANTIAGO DEL ESTERO 690",1623,"INGENIERO MASCHWITZ","AR",4445833,,,27232483623,2723248362
20279898,4200,"VELOCE LOGISTICA S.A.","SN ARG",,"PARAMERICANA KM 37",1519,"GARIN","AR",,,,33711034299,
20279897,4200,"MGP LOGISTICS S.R.L.","SN ARG",,"DOLORES PRATS 1960",1706,"HAEDO NORTE","AR",60791956,,,30712333150,9016721912
20279900,4200,"LAZZARINO MARIANA","SN ARG",,"DARRAGUEIRA 1551",1714,"ITUZAINGO","AR",,,,27205930138,
20279903,4200,"PNEUMATIC SCALE ANGELUS","SN ARG",,"10 ASCOT PARKWAY",44223,"CUYAHOGA FALLS","US",13309230491,,,55000002126,
20279921,4200,"FERRARO Y ASOCIADOS S.R.L.","SN ARG",,"CALLE 9 ENTRE 8 Y 10 1761",1629,"PILAR","AR",,,,30708403969,9028109905
20279925,4200,"SILVIA GRACIELA GARCIA","SN ARG",,"SALVADOR SOREDA 6032",1875,"WILDE","AR",1126554037,,,27171037390,
20279926,4200,"MATCON LTD","SN ARG",,"BRAMLEY DRIVE, VALE PARK",111,"EVESHAM","GB",,,,55000004269,
20279940,4200,"EL POLITECNICO SOCIEDAD ANONIMA","SN ARG",,"SARMIENTO 820",1041,"CAPITAL FEDERAL","AR",,,,30558263101,30558263101
20279941,4200,"LANG DIEGO FEDERICO","SN ARG",,"BRANDSEN 527",1646,"SAN FERNANDO","AR",,,,20175382632,
20279950,4200,"TALLERES IPAM HNOS S.R.L","SN ARG",,"ZUVIRIA 1931 P:PB",1663,"SAN MIGUEL","AR",,,,30715069659,30715069659
20279965,4200,"BIANCHI SERGIO OMAR","SN ARG",,"MORIONDO 3721",1674,"SAENZ PENA","AR",,,,20160982579,20160982579
20279961,4200,"DAIMAX SA","SN ARG",,"VILLARROEL 5969",1653,"VILLA BALLESTER","AR",,,,30714117293,30714117293
20279956,4200,"ENVAPLAST S R L","SN ARG",,"MENDOZA D PEDRO 2887",1294,"CAPITAL FEDERAL","AR",,,,30586347760,30586347760
20279967,4200,"EMERGENCIAS MEDICAS ESCOBAR S.A.","SN ARG",,"LAPRIDA 248",1625,"ESCOBAR","AR",,,,30715322400,30715322400
20279980,4200,"ATRIX S.A.","SN ARG",,"MISIONES 314",5000,"CAPITAL FEDERAL","AR",4234385,,,30711995184,
20279983,4200,"ESTRUCPLAN CONSULTORA S.A.","SN ARG",,"AV. RIVADAVIA 18451 1ºA",1708,"MORON","AR",,,,30683844388,"902-3068384"
20280011,4200,"ALARALAB S.A.","SN ARG",,"CRISOSTOMO ALVAREZ 5515",1439,"CAPITAL FEDERAL","AR",1146017036,,,30710380216,9012693361
20280016,4200,"QUIERO SA","SN ARG",,"MUNICH 1751",1428,"CAPITAL FEDERAL","AR",47880032,,,33709650489,
20280029,4200,"G D G INGENIERIA SRL","SN ARG",,"SOLIS 7836",7600,"MAR DEL PLATA","AR",4826393,,,30709240141,30709240141
20280032,4200,"HICA INTEGRADA S.R.L.","SN ARG",,"CALLE 214 N-679",1886,"BERAZATEGUI","AR",42583315,,,30710046715,30710046715
20280033,4200,"LOZA LEANDRO LUIS","SN ARG",,"JUAN B JUSTO 1272",1643,"BECCAR","AR",47434339,,,20329914292,20329914292
20280035,4200,"FARMACIA SAN PEDRO SCS","SN ARG",,"AV CABILDO 799",1426,"CAPITAL FEDERAL","AR",45831097,,,30541679991,
20280039,4200,"LUXLAND SRL","SN ARG",,"CERRITO 1070 P 6 DTO103",1010,"CAPITAL FEDERAL","AR",47846946,,,30715218190,30715218190
20280037,4200,"GUELAR FACUNDO","SN ARG",,"WASHINGTON 4095",1430,"CAPITAL FEDERAL","AR",57987171,,,20234711688,153545211
20280040,4200,"JMC CAÑERIAS S.R.L","SN ARG",,"AZCUENAGA 4071",1882,"ESPELETA","AR",42162797,,,30714808326,30714808326
20280043,4200,"INGO AMERICA INGENIERIA Y OBRAS S.A","SN ARG",,"BOGOTA 915",1640,"MARTINEZ","AR",47170087,,,30715487523,30715487523
20280045,4200,"DESIMONE CLAUDIO ANDRES","SN ARG",,"RAWSON Nº5875",7600,"MAR DEL PLATA","AR",4771831,,,20184545137,20184545137
20280046,4200,"PRINEL S.R.L.","SN ARG",,"PRESIDENTE DERQUI 1061",1824,"LANUS","AR",42499667,,,30645040259,
20280047,4200,"ESTABLECIMIENTO METALURGICO OLIVEIR","SN ARG",,"CALLE 39 1553",1650,"SAN MARTIN","AR",47557956,,,30709477400,30709477400
20280048,4200,"CONTUCO S.R.L.","SN ARG",,"DEAN FUNES 2097",1244,"CAPITAL FEDERAL","AR",47561676,,,30715006789,"30-71500678"
20280050,4200,"TECNOPRACTICA S.A.","SN ARG",,"ALFEREZ HIPOLITO BOUCHARD 4857",1606,"CARAPACHAY","AR",47653335,,,30593919931,"901-954673-"
20280051,4200,"DINORTE INSTRUMENTAL S.A.","SN ARG",,"BLANCO ENCALADA 5619",1431,"VILLA URQUIZA","AR",45234393,,,30715080962,
20280063,4200,"BERBENTANA GUSTAVO JAVIER","SN ARG",,"CABO OSCAR LABALTA 635",3260,"CONCEPCION DEL URUGU","AR",443569,,,23274256559,
20280058,4200,"SOLANA DE ESCOBAR SA","SN ARG",,"SANCHEZ DE BUSTAMANTE 2317 2°B",1425,"CAPITAL FEDERAL","AR",4420665,,,30619053571,9019468387
20280075,4200,"ENFRIADORES Y ACONDICIONADORES S.R.","SN ARG",,"BOMBEROS VOLUNTARIOS 467",1619,"GARIN","AR",4477755,,,30715602845,30715602845
